villager,level,trade,base item,buy,demand,increase,price,trade_type
Cartographer,Journeyman,Emerald,Compass,3,2,0,1,Player sells
Cartographer,Journeyman,Emerald,Compass,4,3,0,1,Player sells
Cartographer,Journeyman,Emerald,Compass,5,4,0,1,Player sells
Cartographer,Journeyman,Emerald,Compass,6,5,0,1,Player sells
Cartographer,Journeyman,Emerald,Compass,7,6,0,1,Player sells
Cartographer,Journeyman,Emerald,Compass,8,7,0,1,Player sells
Cartographer,Journeyman,Emerald,Compass,9,8,0,1,Player sells
Cartographer,Journeyman,Emerald,Compass,10,9,0,1,Player sells
Cartographer,Journeyman,Emerald,Compass,11,10,0,1,Player sells
Cartographer,Journeyman,Emerald,Compass,12,11,0,1,Player sells
Cartographer,Journeyman,Ocean Explorer Map,Emerald + Compass,1,0,0,13,Player sells
Cartographer,Journeyman,Ocean Explorer Map,Emerald + Compass,2,1,2,15,Player sells
Cartographer,Journeyman,Ocean Explorer Map,Emerald + Compass,3,2,5,18,Player sells
Cartographer,Journeyman,Ocean Explorer Map,Emerald + Compass,4,3,7,20,Player sells
Cartographer,Journeyman,Ocean Explorer Map,Emerald + Compass,5,4,10,23,Player sells
Cartographer,Journeyman,Ocean Explorer Map,Emerald + Compass,6,5,13,26,Player sells
Cartographer,Journeyman,Ocean Explorer Map,Emerald + Compass,7,6,15,28,Player sells
Cartographer,Journeyman,Ocean Explorer Map,Emerald + Compass,8,7,18,31,Player sells
Cartographer,Journeyman,Ocean Explorer Map,Emerald + Compass,9,8,20,33,Player sells
Cartographer,Journeyman,Ocean Explorer Map,Emerald + Compass,10,9,23,36,Player sells
Cartographer,Journeyman,Ocean Explorer Map,Emerald + Compass,11,10,26,39,Player sells
Cartographer,Journeyman,Ocean Explorer Map,Emerald + Compass,12,11,28,41,Player sells
Cartographer,Journeyman,Trial Explorer Map,Emerald + Compass,1,0,0,12,Player sells
Cartographer,Journeyman,Trial Explorer Map,Emerald + Compass,2,1,2,14,Player sells
Cartographer,Journeyman,Trial Explorer Map,Emerald + Compass,3,2,4,16,Player sells
Cartographer,Journeyman,Trial Explorer Map,Emerald + Compass,4,3,7,19,Player sells
Cartographer,Journeyman,Trial Explorer Map,Emerald + Compass,5,4,9,21,Player sells
Cartographer,Journeyman,Trial Explorer Map,Emerald + Compass,6,5,12,24,Player sells
Cartographer,Journeyman,Trial Explorer Map,Emerald + Compass,7,6,14,26,Player sells
Cartographer,Journeyman,Trial Explorer Map,Emerald + Compass,8,7,16,28,Player sells
Cartographer,Journeyman,Trial Explorer Map,Emerald + Compass,9,8,19,31,Player sells
Cartographer,Journeyman,Trial Explorer Map,Emerald + Compass,10,9,21,33,Player sells
Cartographer,Journeyman,Trial Explorer Map,Emerald + Compass,11,10,24,36,Player sells
Cartographer,Journeyman,Trial Explorer Map,Emerald + Compass,12,11,26,38,Player sells
Cartographer,Expert,Item Frame,Emerald,1,0,0,7,Player buys
Cartographer,Expert,Item Frame,Emerald,2,1,0,7,Player buys
Cartographer,Expert,Item Frame,Emerald,3,2,0,7,Player buys
Cartographer,Expert,Item Frame,Emerald,4,3,1,8,Player buys
Cartographer,Expert,Item Frame,Emerald,5,4,1,8,Player buys
Cartographer,Expert,Item Frame,Emerald,6,5,1,8,Player buys
Cartographer,Expert,Item Frame,Emerald,7,6,2,9,Player buys
Cartographer,Expert,Item Frame,Emerald,8,7,2,9,Player buys
Cartographer,Expert,Item Frame,Emerald,9,8,2,9,Player buys
Cartographer,Expert,Item Frame,Emerald,10,9,3,10,Player buys
Cartographer,Expert,Item Frame,Emerald,11,10,3,10,Player buys
Cartographer,Expert,Item Frame,Emerald,12,11,3,10,Player buys
Cartographer,Expert,Banner,Emerald,1,0,0,3,Player buys
Cartographer,Expert,Banner,Emerald,2,1,0,3,Player buys
Cartographer,Expert,Banner,Emerald,3,2,0,3,Player buys
Cartographer,Expert,Banner,Emerald,4,3,0,3,Player buys
Cartographer,Expert,Banner,Emerald,5,4,0,3,Player buys
Cartographer,Expert,Banner,Emerald,6,5,0,3,Player buys
Cartographer,Expert,Banner,Emerald,7,6,0,3,Player buys
Cartographer,Expert,Banner,Emerald,8,7,1,4,Player buys
Cartographer,Expert,Banner,Emerald,9,8,1,4,Player buys
Cartographer,Expert,Banner,Emerald,10,9,1,4,Player buys
Cartographer,Expert,Banner,Emerald,11,10,1,4,Player buys
Cartographer,Expert,Banner,Emerald,12,11,1,4,Player buys
Cartographer,Master,Globe Banner Pattern,Emerald,1,0,0,8,Player buys
Cartographer,Master,Globe Banner Pattern,Emerald,2,1,0,8,Player buys
Cartographer,Master,Globe Banner Pattern,Emerald,3,2,0,8,Player buys
Cartographer,Master,Globe Banner Pattern,Emerald,4,3,1,9,Player buys
Cartographer,Master,Globe Banner Pattern,Emerald,5,4,1,9,Player buys
Cartographer,Master,Globe Banner Pattern,Emerald,6,5,2,10,Player buys
Cartographer,Master,Globe Banner Pattern,Emerald,7,6,2,10,Player buys
Cartographer,Master,Globe Banner Pattern,Emerald,8,7,2,10,Player buys
Cartographer,Master,Globe Banner Pattern,Emerald,9,8,3,11,Player buys
Cartographer,Master,Globe Banner Pattern,Emerald,10,9,3,11,Player buys
Cartographer,Master,Globe Banner Pattern,Emerald,11,10,4,12,Player buys
Cartographer,Master,Globe Banner Pattern,Emerald,12,11,4,12,Player buys
Cartographer,Master,Woodland Explorer Map,Emerald + Compass,1,0,0,14,Player sells
Cartographer,Master,Woodland Explorer Map,Emerald + Compass,2,1,2,16,Player sells
Cartographer,Master,Woodland Explorer Map,Emerald + Compass,3,2,5,19,Player sells
Cartographer,Master,Woodland Explorer Map,Emerald + Compass,4,3,8,22,Player sells
Cartographer,Master,Woodland Explorer Map,Emerald + Compass,5,4,11,25,Player sells
Cartographer,Master,Woodland Explorer Map,Emerald + Compass,6,5,14,28,Player sells
Cartographer,Master,Woodland Explorer Map,Emerald + Compass,7,6,16,30,Player sells
Cartographer,Master,Woodland Explorer Map,Emerald + Compass,8,7,19,33,Player sells
Cartographer,Master,Woodland Explorer Map,Emerald + Compass,9,8,22,36,Player sells
Cartographer,Master,Woodland Explorer Map,Emerald + Compass,10,9,25,39,Player sells
Cartographer,Master,Woodland Explorer Map,Emerald + Compass,11,10,28,42,Player sells
Cartographer,Master,Woodland Explorer Map,Emerald + Compass,12,11,30,44,Player sells
Cleric,Novice,Emerald,Rotten Flesh,1,0,0,32,Player sells
Cleric,Novice,Emerald,Rotten Flesh,2,1,1,33,Player sells
Cleric,Novice,Emerald,Rotten Flesh,3,2,3,35,Player sells
Cleric,Novice,Emerald,Rotten Flesh,4,3,4,36,Player sells
Cleric,Novice,Emerald,Rotten Flesh,5,4,6,38,Player sells
Cleric,Novice,Emerald,Rotten Flesh,6,5,8,40,Player sells
Cleric,Novice,Emerald,Rotten Flesh,7,6,9,41,Player sells
Cleric,Novice,Emerald,Rotten Flesh,8,7,11,43,Player sells
Cleric,Novice,Emerald,Rotten Flesh,9,8,12,44,Player sells
Cleric,Novice,Emerald,Rotten Flesh,10,9,14,46,Player sells
Cleric,Novice,Emerald,Rotten Flesh,11,10,16,48,Player sells
Cleric,Novice,Emerald,Rotten Flesh,12,11,17,49,Player sells
Cleric,Novice,Emerald,Rotten Flesh,13,12,19,51,Player sells
Cleric,Novice,Emerald,Rotten Flesh,14,13,20,52,Player sells
Cleric,Novice,Emerald,Rotten Flesh,15,14,22,54,Player sells
Cleric,Novice,Emerald,Rotten Flesh,16,15,24,56,Player sells
Cleric,Novice,Redstone Dust,Emerald,1,0,0,1,Player buys
Cleric,Novice,Redstone Dust,Emerald,2,1,0,1,Player buys
Cleric,Novice,Redstone Dust,Emerald,3,2,0,1,Player buys
Cleric,Novice,Redstone Dust,Emerald,4,3,0,1,Player buys
Cleric,Novice,Redstone Dust,Emerald,5,4,0,1,Player buys
Cleric,Novice,Redstone Dust,Emerald,6,5,0,1,Player buys
Cleric,Novice,Redstone Dust,Emerald,7,6,0,1,Player buys
Cleric,Novice,Redstone Dust,Emerald,8,7,0,1,Player buys
Cleric,Novice,Redstone Dust,Emerald,9,8,0,1,Player buys
Cleric,Novice,Redstone Dust,Emerald,10,9,0,1,Player buys
Cleric,Novice,Redstone Dust,Emerald,11,10,0,1,Player buys
Cleric,Novice,Redstone Dust,Emerald,12,11,0,1,Player buys
Cleric,Apprentice,Emerald,Gold Ingot,1,0,0,3,Player sells
Cleric,Apprentice,Emerald,Gold Ingot,2,1,0,3,Player sells
Cleric,Apprentice,Emerald,Gold Ingot,3,2,0,3,Player sells
Cleric,Apprentice,Emerald,Gold Ingot,4,3,0,3,Player sells
Cleric,Apprentice,Emerald,Gold Ingot,5,4,0,3,Player sells
Cleric,Apprentice,Emerald,Gold Ingot,6,5,0,3,Player sells
Cleric,Apprentice,Emerald,Gold Ingot,7,6,0,3,Player sells
Cleric,Apprentice,Emerald,Gold Ingot,8,7,1,4,Player sells
Cleric,Apprentice,Emerald,Gold Ingot,9,8,1,4,Player sells
Cleric,Apprentice,Emerald,Gold Ingot,10,9,1,4,Player sells
Cleric,Apprentice,Emerald,Gold Ingot,11,10,1,4,Player sells
Cleric,Apprentice,Emerald,Gold Ingot,12,11,1,4,Player sells
Cleric,Apprentice,Lapis Lazuli,Emerald,1,0,0,1,Player buys
Cleric,Apprentice,Lapis Lazuli,Emerald,2,1,0,1,Player buys
Cleric,Apprentice,Lapis Lazuli,Emerald,3,2,0,1,Player buys
Cleric,Apprentice,Lapis Lazuli,Emerald,4,3,0,1,Player buys
Cleric,Apprentice,Lapis Lazuli,Emerald,5,4,0,1,Player buys
Cleric,Apprentice,Lapis Lazuli,Emerald,6,5,0,1,Player buys
Cleric,Apprentice,Lapis Lazuli,Emerald,7,6,0,1,Player buys
Cleric,Apprentice,Lapis Lazuli,Emerald,8,7,0,1,Player buys
Cleric,Apprentice,Lapis Lazuli,Emerald,9,8,0,1,Player buys
Cleric,Apprentice,Lapis Lazuli,Emerald,10,9,0,1,Player buys
Cleric,Apprentice,Lapis Lazuli,Emerald,11,10,0,1,Player buys
Cleric,Apprentice,Lapis Lazuli,Emerald,12,11,0,1,Player buys
Cleric,Journeyman,Emerald,Rabbit's Foot,1,0,0,2,Player sells
Cleric,Journeyman,Emerald,Rabbit's Foot,2,1,0,2,Player sells
Cleric,Journeyman,Emerald,Rabbit's Foot,3,2,0,2,Player sells
Cleric,Journeyman,Emerald,Rabbit's Foot,4,3,0,2,Player sells
Cleric,Journeyman,Emerald,Rabbit's Foot,5,4,0,2,Player sells
Cleric,Journeyman,Emerald,Rabbit's Foot,6,5,0,2,Player sells
Cleric,Journeyman,Emerald,Rabbit's Foot,7,6,0,2,Player sells
Cleric,Journeyman,Emerald,Rabbit's Foot,8,7,0,2,Player sells
Cleric,Journeyman,Emerald,Rabbit's Foot,9,8,0,2,Player sells
Cleric,Journeyman,Emerald,Rabbit's Foot,10,9,0,2,Player sells
Cleric,Journeyman,Emerald,Rabbit's Foot,11,10,1,3,Player sells
Cleric,Journeyman,Emerald,Rabbit's Foot,12,11,1,3,Player sells
Cleric,Journeyman,Glowstone,Emerald,1,0,0,4,Player buys
Cleric,Journeyman,Glowstone,Emerald,2,1,0,4,Player buys
Cleric,Journeyman,Glowstone,Emerald,3,2,0,4,Player buys
Cleric,Journeyman,Glowstone,Emerald,4,3,0,4,Player buys
Cleric,Journeyman,Glowstone,Emerald,5,4,0,4,Player buys
Cleric,Journeyman,Glowstone,Emerald,6,5,1,5,Player buys
Cleric,Journeyman,Glowstone,Emerald,7,6,1,5,Player buys
Cleric,Journeyman,Glowstone,Emerald,8,7,1,5,Player buys
Cleric,Journeyman,Glowstone,Emerald,9,8,1,5,Player buys
Cleric,Journeyman,Glowstone,Emerald,10,9,1,5,Player buys
Cleric,Journeyman,Glowstone,Emerald,11,10,2,6,Player buys
Cleric,Journeyman,Glowstone,Emerald,12,11,2,6,Player buys
Cleric,Expert,Emerald,Turtle Scute,1,0,0,4,Player sells
Cleric,Expert,Emerald,Turtle Scute,2,1,0,4,Player sells
Cleric,Expert,Emerald,Turtle Scute,3,2,0,4,Player sells
Cleric,Expert,Emerald,Turtle Scute,4,3,0,4,Player sells
Cleric,Expert,Emerald,Turtle Scute,5,4,0,4,Player sells
Cleric,Expert,Emerald,Turtle Scute,6,5,1,5,Player sells
Cleric,Expert,Emerald,Turtle Scute,7,6,1,5,Player sells
Cleric,Expert,Emerald,Turtle Scute,8,7,1,5,Player sells
Cleric,Expert,Emerald,Turtle Scute,9,8,1,5,Player sells
Cleric,Expert,Emerald,Turtle Scute,10,9,1,5,Player sells
Cleric,Expert,Emerald,Turtle Scute,11,10,2,6,Player sells
Cleric,Expert,Emerald,Turtle Scute,12,11,2,6,Player sells
Cleric,Expert,Emerald,Glass Bottle,1,0,0,9,Player sells
Cleric,Expert,Emerald,Glass Bottle,2,1,0,9,Player sells
Cleric,Expert,Emerald,Glass Bottle,3,2,0,9,Player sells
Cleric,Expert,Emerald,Glass Bottle,4,3,1,10,Player sells
Cleric,Expert,Emerald,Glass Bottle,5,4,1,10,Player sells
Cleric,Expert,Emerald,Glass Bottle,6,5,2,11,Player sells
Cleric,Expert,Emerald,Glass Bottle,7,6,2,11,Player sells
Cleric,Expert,Emerald,Glass Bottle,8,7,3,12,Player sells
Cleric,Expert,Emerald,Glass Bottle,9,8,3,12,Player sells
Cleric,Expert,Emerald,Glass Bottle,10,9,4,13,Player sells
Cleric,Expert,Emerald,Glass Bottle,11,10,4,13,Player sells
Cleric,Expert,Emerald,Glass Bottle,12,11,4,13,Player sells
Cleric,Expert,Ender Pearl,Emerald,1,0,0,5,Player buys
Cleric,Expert,Ender Pearl,Emerald,2,1,0,5,Player buys
Cleric,Expert,Ender Pearl,Emerald,3,2,0,5,Player buys
Cleric,Expert,Ender Pearl,Emerald,4,3,0,5,Player buys
Cleric,Expert,Ender Pearl,Emerald,5,4,1,6,Player buys
Cleric,Expert,Ender Pearl,Emerald,6,5,1,6,Player buys
Cleric,Expert,Ender Pearl,Emerald,7,6,1,6,Player buys
Cleric,Expert,Ender Pearl,Emerald,8,7,1,6,Player buys
Cleric,Expert,Ender Pearl,Emerald,9,8,2,7,Player buys
Cleric,Expert,Ender Pearl,Emerald,10,9,2,7,Player buys
Cleric,Expert,Ender Pearl,Emerald,11,10,2,7,Player buys
Cleric,Expert,Ender Pearl,Emerald,12,11,2,7,Player buys
Cleric,Master,Emerald,Nether Wart,1,0,0,22,Player sells
Cleric,Master,Emerald,Nether Wart,2,1,1,23,Player sells
Cleric,Master,Emerald,Nether Wart,3,2,2,24,Player sells
Cleric,Master,Emerald,Nether Wart,4,3,3,25,Player sells
Cleric,Master,Emerald,Nether Wart,5,4,4,26,Player sells
Cleric,Master,Emerald,Nether Wart,6,5,5,27,Player sells
Cleric,Master,Emerald,Nether Wart,7,6,6,28,Player sells
Cleric,Master,Emerald,Nether Wart,8,7,7,29,Player sells
Cleric,Master,Emerald,Nether Wart,9,8,8,30,Player sells
Cleric,Master,Emerald,Nether Wart,10,9,9,31,Player sells
Cleric,Master,Emerald,Nether Wart,11,10,11,33,Player sells
Cleric,Master,Emerald,Nether Wart,12,11,12,34,Player sells
Cleric,Master,Bottle o' Enchanting,Emerald,1,0,0,3,Player buys
Cleric,Master,Bottle o' Enchanting,Emerald,2,1,0,3,Player buys
Cleric,Master,Bottle o' Enchanting,Emerald,3,2,0,3,Player buys
Cleric,Master,Bottle o' Enchanting,Emerald,4,3,0,3,Player buys
Cleric,Master,Bottle o' Enchanting,Emerald,5,4,0,3,Player buys
Cleric,Master,Bottle o' Enchanting,Emerald,6,5,0,3,Player buys
Cleric,Master,Bottle o' Enchanting,Emerald,7,6,0,3,Player buys
Cleric,Master,Bottle o' Enchanting,Emerald,8,7,1,4,Player buys
Cleric,Master,Bottle o' Enchanting,Emerald,9,8,1,4,Player buys
Cleric,Master,Bottle o' Enchanting,Emerald,10,9,1,4,Player buys
Cleric,Master,Bottle o' Enchanting,Emerald,11,10,1,4,Player buys
Cleric,Master,Bottle o' Enchanting,Emerald,12,11,1,4,Player buys
Farmer,Novice,Emerald,Wheat,1,0,0,20,Player sells
Farmer,Novice,Emerald,Wheat,2,1,1,21,Player sells
Farmer,Novice,Emerald,Wheat,3,2,2,22,Player sells
Farmer,Novice,Emerald,Wheat,4,3,3,23,Player sells
Farmer,Novice,Emerald,Wheat,5,4,4,24,Player sells
Farmer,Novice,Emerald,Wheat,6,5,5,25,Player sells
Farmer,Novice,Emerald,Wheat,7,6,6,26,Player sells
Farmer,Novice,Emerald,Wheat,8,7,7,27,Player sells
Farmer,Novice,Emerald,Wheat,9,8,8,28,Player sells
Farmer,Novice,Emerald,Wheat,10,9,9,29,Player sells
Farmer,Novice,Emerald,Wheat,11,10,10,30,Player sells
Farmer,Novice,Emerald,Wheat,12,11,11,31,Player sells
Farmer,Novice,Emerald,Wheat,13,12,12,32,Player sells
Farmer,Novice,Emerald,Wheat,14,13,13,33,Player sells
Farmer,Novice,Emerald,Wheat,15,14,14,34,Player sells
Farmer,Novice,Emerald,Wheat,16,15,15,35,Player sells
Farmer,Novice,Emerald,Potato,1,0,0,26,Player sells
Farmer,Novice,Emerald,Potato,2,1,1,27,Player sells
Farmer,Novice,Emerald,Potato,3,2,2,28,Player sells
Farmer,Novice,Emerald,Potato,4,3,3,29,Player sells
Farmer,Novice,Emerald,Potato,5,4,5,31,Player sells
Farmer,Novice,Emerald,Potato,6,5,6,32,Player sells
Farmer,Novice,Emerald,Potato,7,6,7,33,Player sells
Farmer,Novice,Emerald,Potato,8,7,9,35,Player sells
Farmer,Novice,Emerald,Potato,9,8,10,36,Player sells
Farmer,Novice,Emerald,Potato,10,9,11,37,Player sells
Farmer,Novice,Emerald,Potato,11,10,13,39,Player sells
Farmer,Novice,Emerald,Potato,12,11,14,40,Player sells
Farmer,Novice,Emerald,Potato,13,12,15,41,Player sells
Farmer,Novice,Emerald,Potato,14,13,16,42,Player sells
Farmer,Novice,Emerald,Potato,15,14,18,44,Player sells
Farmer,Novice,Emerald,Potato,16,15,19,45,Player sells
Farmer,Novice,Emerald,Carrot,1,0,0,22,Player sells
Farmer,Novice,Emerald,Carrot,2,1,1,23,Player sells
Farmer,Novice,Emerald,Carrot,3,2,2,24,Player sells
Farmer,Novice,Emerald,Carrot,4,3,3,25,Player sells
Farmer,Novice,Emerald,Carrot,5,4,4,26,Player sells
Farmer,Novice,Emerald,Carrot,6,5,5,27,Player sells
Farmer,Novice,Emerald,Carrot,7,6,6,28,Player sells
Farmer,Novice,Emerald,Carrot,8,7,7,29,Player sells
Farmer,Novice,Emerald,Carrot,9,8,8,30,Player sells
Farmer,Novice,Emerald,Carrot,10,9,9,31,Player sells
Farmer,Novice,Emerald,Carrot,11,10,11,33,Player sells
Farmer,Novice,Emerald,Carrot,12,11,12,34,Player sells
Farmer,Novice,Emerald,Carrot,13,12,13,35,Player sells
Farmer,Novice,Emerald,Carrot,14,13,14,36,Player sells
Farmer,Novice,Emerald,Carrot,15,14,15,37,Player sells
Farmer,Novice,Emerald,Carrot,16,15,16,38,Player sells
Farmer,Novice,Emerald,Beetroot,1,0,0,15,Player sells
Farmer,Novice,Emerald,Beetroot,2,1,0,15,Player sells
Farmer,Novice,Emerald,Beetroot,3,2,1,16,Player sells
Farmer,Novice,Emerald,Beetroot,4,3,2,17,Player sells
Farmer,Novice,Emerald,Beetroot,5,4,3,18,Player sells
Farmer,Novice,Emerald,Beetroot,6,5,3,18,Player sells
Farmer,Novice,Emerald,Beetroot,7,6,4,19,Player sells
Farmer,Novice,Emerald,Beetroot,8,7,5,20,Player sells
Farmer,Novice,Emerald,Beetroot,9,8,6,21,Player sells
Farmer,Novice,Emerald,Beetroot,10,9,6,21,Player sells
Farmer,Novice,Emerald,Beetroot,11,10,7,22,Player sells
Farmer,Novice,Emerald,Beetroot,12,11,8,23,Player sells
Farmer,Novice,Emerald,Beetroot,13,12,9,24,Player sells
Farmer,Novice,Emerald,Beetroot,14,13,9,24,Player sells
Farmer,Novice,Emerald,Beetroot,15,14,10,25,Player sells
Farmer,Novice,Emerald,Beetroot,16,15,11,26,Player sells
Farmer,Novice,Bread,Emerald,1,0,0,1,Player buys
Farmer,Novice,Bread,Emerald,2,1,0,1,Player buys
Farmer,Novice,Bread,Emerald,3,2,0,1,Player buys
Farmer,Novice,Bread,Emerald,4,3,0,1,Player buys
Farmer,Novice,Bread,Emerald,5,4,0,1,Player buys
Farmer,Novice,Bread,Emerald,6,5,0,1,Player buys
Farmer,Novice,Bread,Emerald,7,6,0,1,Player buys
Farmer,Novice,Bread,Emerald,8,7,0,1,Player buys
Farmer,Novice,Bread,Emerald,9,8,0,1,Player buys
Farmer,Novice,Bread,Emerald,10,9,0,1,Player buys
Farmer,Novice,Bread,Emerald,11,10,0,1,Player buys
Farmer,Novice,Bread,Emerald,12,11,0,1,Player buys
Farmer,Novice,Bread,Emerald,13,12,0,1,Player buys
Farmer,Novice,Bread,Emerald,14,13,0,1,Player buys
Farmer,Novice,Bread,Emerald,15,14,0,1,Player buys
Farmer,Novice,Bread,Emerald,16,15,0,1,Player buys
Farmer,Apprentice,Emerald,Pumpkin,1,0,0,6,Player sells
Farmer,Apprentice,Emerald,Pumpkin,2,1,0,6,Player sells
Farmer,Apprentice,Emerald,Pumpkin,3,2,0,6,Player sells
Farmer,Apprentice,Emerald,Pumpkin,4,3,0,6,Player sells
Farmer,Apprentice,Emerald,Pumpkin,5,4,1,7,Player sells
Farmer,Apprentice,Emerald,Pumpkin,6,5,1,7,Player sells
Farmer,Apprentice,Emerald,Pumpkin,7,6,1,7,Player sells
Farmer,Apprentice,Emerald,Pumpkin,8,7,2,8,Player sells
Farmer,Apprentice,Emerald,Pumpkin,9,8,2,8,Player sells
Farmer,Apprentice,Emerald,Pumpkin,10,9,2,8,Player sells
Farmer,Apprentice,Emerald,Pumpkin,11,10,3,9,Player sells
Farmer,Apprentice,Emerald,Pumpkin,12,11,3,9,Player sells
Farmer,Apprentice,Pumpkin Pie,Emerald,1,0,0,1,Player buys
Farmer,Apprentice,Pumpkin Pie,Emerald,2,1,0,1,Player buys
Farmer,Apprentice,Pumpkin Pie,Emerald,3,2,0,1,Player buys
Farmer,Apprentice,Pumpkin Pie,Emerald,4,3,0,1,Player buys
Farmer,Apprentice,Pumpkin Pie,Emerald,5,4,0,1,Player buys
Farmer,Apprentice,Pumpkin Pie,Emerald,6,5,0,1,Player buys
Farmer,Apprentice,Pumpkin Pie,Emerald,7,6,0,1,Player buys
Farmer,Apprentice,Pumpkin Pie,Emerald,8,7,0,1,Player buys
Farmer,Apprentice,Pumpkin Pie,Emerald,9,8,0,1,Player buys
Farmer,Apprentice,Pumpkin Pie,Emerald,10,9,0,1,Player buys
Farmer,Apprentice,Pumpkin Pie,Emerald,11,10,0,1,Player buys
Farmer,Apprentice,Pumpkin Pie,Emerald,12,11,0,1,Player buys
Farmer,Apprentice,Apple,Emerald,1,0,0,1,Player buys
Farmer,Apprentice,Apple,Emerald,2,1,0,1,Player buys
Farmer,Apprentice,Apple,Emerald,3,2,0,1,Player buys
Farmer,Apprentice,Apple,Emerald,4,3,0,1,Player buys
Farmer,Apprentice,Apple,Emerald,5,4,0,1,Player buys
Farmer,Apprentice,Apple,Emerald,6,5,0,1,Player buys
Farmer,Apprentice,Apple,Emerald,7,6,0,1,Player buys
Farmer,Apprentice,Apple,Emerald,8,7,0,1,Player buys
Farmer,Apprentice,Apple,Emerald,9,8,0,1,Player buys
Farmer,Apprentice,Apple,Emerald,10,9,0,1,Player buys
Farmer,Apprentice,Apple,Emerald,11,10,0,1,Player buys
Farmer,Apprentice,Apple,Emerald,12,11,0,1,Player buys
Farmer,Apprentice,Apple,Emerald,13,12,0,1,Player buys
Farmer,Apprentice,Apple,Emerald,14,13,0,1,Player buys
Farmer,Apprentice,Apple,Emerald,15,14,0,1,Player buys
Farmer,Apprentice,Apple,Emerald,16,15,0,1,Player buys
Farmer,Journeyman,Emerald,Melon,1,0,0,4,Player sells
Farmer,Journeyman,Emerald,Melon,2,1,0,4,Player sells
Farmer,Journeyman,Emerald,Melon,3,2,0,4,Player sells
Farmer,Journeyman,Emerald,Melon,4,3,0,4,Player sells
Farmer,Journeyman,Emerald,Melon,5,4,0,4,Player sells
Farmer,Journeyman,Emerald,Melon,6,5,1,5,Player sells
Farmer,Journeyman,Emerald,Melon,7,6,1,5,Player sells
Farmer,Journeyman,Emerald,Melon,8,7,1,5,Player sells
Farmer,Journeyman,Emerald,Melon,9,8,1,5,Player sells
Farmer,Journeyman,Emerald,Melon,10,9,1,5,Player sells
Farmer,Journeyman,Emerald,Melon,11,10,2,6,Player sells
Farmer,Journeyman,Emerald,Melon,12,11,2,6,Player sells
Farmer,Journeyman,Cookie,Emerald,1,0,0,3,Player buys
Farmer,Journeyman,Cookie,Emerald,2,1,0,3,Player buys
Farmer,Journeyman,Cookie,Emerald,3,2,0,3,Player buys
Farmer,Journeyman,Cookie,Emerald,4,3,0,3,Player buys
Farmer,Journeyman,Cookie,Emerald,5,4,0,3,Player buys
Farmer,Journeyman,Cookie,Emerald,6,5,0,3,Player buys
Farmer,Journeyman,Cookie,Emerald,7,6,0,3,Player buys
Farmer,Journeyman,Cookie,Emerald,8,7,1,4,Player buys
Farmer,Journeyman,Cookie,Emerald,9,8,1,4,Player buys
Farmer,Journeyman,Cookie,Emerald,10,9,1,4,Player buys
Farmer,Journeyman,Cookie,Emerald,11,10,1,4,Player buys
Farmer,Journeyman,Cookie,Emerald,12,11,1,4,Player buys
Farmer,Expert,Suspicious Stew,Emerald,1,0,0,1,Player buys
Farmer,Expert,Suspicious Stew,Emerald,2,1,0,1,Player buys
Farmer,Expert,Suspicious Stew,Emerald,3,2,0,1,Player buys
Farmer,Expert,Suspicious Stew,Emerald,4,3,0,1,Player buys
Farmer,Expert,Suspicious Stew,Emerald,5,4,0,1,Player buys
Farmer,Expert,Suspicious Stew,Emerald,6,5,0,1,Player buys
Farmer,Expert,Suspicious Stew,Emerald,7,6,0,1,Player buys
Farmer,Expert,Suspicious Stew,Emerald,8,7,0,1,Player buys
Farmer,Expert,Suspicious Stew,Emerald,9,8,0,1,Player buys
Farmer,Expert,Suspicious Stew,Emerald,10,9,0,1,Player buys
Farmer,Expert,Suspicious Stew,Emerald,11,10,0,1,Player buys
Farmer,Expert,Suspicious Stew,Emerald,12,11,0,1,Player buys
Farmer,Expert,Cake,Emerald,1,0,0,1,Player buys
Farmer,Expert,Cake,Emerald,2,1,0,1,Player buys
Farmer,Expert,Cake,Emerald,3,2,0,1,Player buys
Farmer,Expert,Cake,Emerald,4,3,0,1,Player buys
Farmer,Expert,Cake,Emerald,5,4,0,1,Player buys
Farmer,Expert,Cake,Emerald,6,5,0,1,Player buys
Farmer,Expert,Cake,Emerald,7,6,0,1,Player buys
Farmer,Expert,Cake,Emerald,8,7,0,1,Player buys
Farmer,Expert,Cake,Emerald,9,8,0,1,Player buys
Farmer,Expert,Cake,Emerald,10,9,0,1,Player buys
Farmer,Expert,Cake,Emerald,11,10,0,1,Player buys
Farmer,Expert,Cake,Emerald,12,11,0,1,Player buys
Farmer,Master,Golden Carrot,Emerald,1,0,0,3,Player buys
Farmer,Master,Golden Carrot,Emerald,2,1,0,3,Player buys
Farmer,Master,Golden Carrot,Emerald,3,2,0,3,Player buys
Farmer,Master,Golden Carrot,Emerald,4,3,0,3,Player buys
Farmer,Master,Golden Carrot,Emerald,5,4,0,3,Player buys
Farmer,Master,Golden Carrot,Emerald,6,5,0,3,Player buys
Farmer,Master,Golden Carrot,Emerald,7,6,0,3,Player buys
Farmer,Master,Golden Carrot,Emerald,8,7,1,4,Player buys
Farmer,Master,Golden Carrot,Emerald,9,8,1,4,Player buys
